Mask,Image
humap_dataset/train/masks/d6f0f1f4a7dc_mask.tif,humap_dataset/train/images/d6f0f1f4a7dc.tif
humap_dataset/train/masks/1fc1c6cc515a_mask.tif,humap_dataset/train/images/1fc1c6cc515a.tif
humap_dataset/train/masks/d873758275c6_mask.tif,humap_dataset/train/images/d873758275c6.tif
humap_dataset/train/masks/e1610493df63_mask.tif,humap_dataset/train/images/e1610493df63.tif
humap_dataset/train/masks/3324837c08b8_mask.tif,humap_dataset/train/images/3324837c08b8.tif
humap_dataset/train/masks/60649906e443_mask.tif,humap_dataset/train/images/60649906e443.tif
humap_dataset/train/masks/d1d485660263_mask.tif,humap_dataset/train/images/d1d485660263.tif
humap_dataset/train/masks/0d1cc52aff5f_mask.tif,humap_dataset/train/images/0d1cc52aff5f.tif
humap_dataset/train/masks/33d56ea8889f_mask.tif,humap_dataset/train/images/33d56ea8889f.tif
humap_dataset/train/masks/6c45ea14a1d4_mask.tif,humap_dataset/train/images/6c45ea14a1d4.tif
humap_dataset/train/masks/0c05e3861510_mask.tif,humap_dataset/train/images/0c05e3861510.tif
humap_dataset/train/masks/97551fbdf2bf_mask.tif,humap_dataset/train/images/97551fbdf2bf.tif
humap_dataset/train/masks/06034408218a_mask.tif,humap_dataset/train/images/06034408218a.tif
humap_dataset/train/masks/45e1f0b13e32_mask.tif,humap_dataset/train/images/45e1f0b13e32.tif
humap_dataset/train/masks/917eae619648_mask.tif,humap_dataset/train/images/917eae619648.tif
humap_dataset/train/masks/3e248be7dd4c_mask.tif,humap_dataset/train/images/3e248be7dd4c.tif
humap_dataset/train/masks/6f8770cfd642_mask.tif,humap_dataset/train/images/6f8770cfd642.tif
humap_dataset/train/masks/cd39806070ab_mask.tif,humap_dataset/train/images/cd39806070ab.tif
humap_dataset/train/masks/2405b58d5b61_mask.tif,humap_dataset/train/images/2405b58d5b61.tif
humap_dataset/train/masks/90481ae2a0c9_mask.tif,humap_dataset/train/images/90481ae2a0c9.tif
humap_dataset/train/masks/0be9b14718b9_mask.tif,humap_dataset/train/images/0be9b14718b9.tif
humap_dataset/train/masks/6071f2eb2163_mask.tif,humap_dataset/train/images/6071f2eb2163.tif
humap_dataset/train/masks/bffe164b7f65_mask.tif,humap_dataset/train/images/bffe164b7f65.tif
humap_dataset/train/masks/93c8f228d228_mask.tif,humap_dataset/train/images/93c8f228d228.tif
humap_dataset/train/masks/f3ad10bf1c9f_mask.tif,humap_dataset/train/images/f3ad10bf1c9f.tif
humap_dataset/train/masks/830dafc6cb4c_mask.tif,humap_dataset/train/images/830dafc6cb4c.tif
humap_dataset/train/masks/8182a03edd17_mask.tif,humap_dataset/train/images/8182a03edd17.tif
humap_dataset/train/masks/700abde35294_mask.tif,humap_dataset/train/images/700abde35294.tif
humap_dataset/train/masks/32eea8d3298b_mask.tif,humap_dataset/train/images/32eea8d3298b.tif
humap_dataset/train/masks/7c038ea321ec_mask.tif,humap_dataset/train/images/7c038ea321ec.tif
humap_dataset/train/masks/3c3b2d9fe661_mask.tif,humap_dataset/train/images/3c3b2d9fe661.tif
humap_dataset/train/masks/41c6e0692ca1_mask.tif,humap_dataset/train/images/41c6e0692ca1.tif
humap_dataset/train/masks/db8431a57b16_mask.tif,humap_dataset/train/images/db8431a57b16.tif
humap_dataset/train/masks/2cb88bf3ed30_mask.tif,humap_dataset/train/images/2cb88bf3ed30.tif
humap_dataset/train/masks/6f77355f4181_mask.tif,humap_dataset/train/images/6f77355f4181.tif
humap_dataset/train/masks/26eb634b5933_mask.tif,humap_dataset/train/images/26eb634b5933.tif
humap_dataset/train/masks/70d79d2694c0_mask.tif,humap_dataset/train/images/70d79d2694c0.tif
humap_dataset/train/masks/92fbc07a537c_mask.tif,humap_dataset/train/images/92fbc07a537c.tif
humap_dataset/train/masks/338721d693ac_mask.tif,humap_dataset/train/images/338721d693ac.tif
humap_dataset/train/masks/9050af994abf_mask.tif,humap_dataset/train/images/9050af994abf.tif
humap_dataset/train/masks/f7a77264f260_mask.tif,humap_dataset/train/images/f7a77264f260.tif
humap_dataset/train/masks/5e568e50245f_mask.tif,humap_dataset/train/images/5e568e50245f.tif
humap_dataset/train/masks/861ffbc05b45_mask.tif,humap_dataset/train/images/861ffbc05b45.tif
humap_dataset/train/masks/d078cb53bbd5_mask.tif,humap_dataset/train/images/d078cb53bbd5.tif
humap_dataset/train/masks/32cf613e3c11_mask.tif,humap_dataset/train/images/32cf613e3c11.tif
humap_dataset/train/masks/a25cbea8669c_mask.tif,humap_dataset/train/images/a25cbea8669c.tif
humap_dataset/train/masks/41493100d434_mask.tif,humap_dataset/train/images/41493100d434.tif
humap_dataset/train/masks/22db9740ba20_mask.tif,humap_dataset/train/images/22db9740ba20.tif
humap_dataset/train/masks/ab0b1f7b2b86_mask.tif,humap_dataset/train/images/ab0b1f7b2b86.tif
humap_dataset/train/masks/5f256b685ae7_mask.tif,humap_dataset/train/images/5f256b685ae7.tif
humap_dataset/train/masks/4db8491f1494_mask.tif,humap_dataset/train/images/4db8491f1494.tif
humap_dataset/train/masks/2daadbc3fe2d_mask.tif,humap_dataset/train/images/2daadbc3fe2d.tif
humap_dataset/train/masks/312bb1ba445f_mask.tif,humap_dataset/train/images/312bb1ba445f.tif
humap_dataset/train/masks/7db704f3e0f0_mask.tif,humap_dataset/train/images/7db704f3e0f0.tif
humap_dataset/train/masks/24bc5d5889b4_mask.tif,humap_dataset/train/images/24bc5d5889b4.tif
humap_dataset/train/masks/6ba7c5991bf9_mask.tif,humap_dataset/train/images/6ba7c5991bf9.tif
humap_dataset/train/masks/3879b8c84baf_mask.tif,humap_dataset/train/images/3879b8c84baf.tif
humap_dataset/train/masks/3dbff16df8b4_mask.tif,humap_dataset/train/images/3dbff16df8b4.tif
humap_dataset/train/masks/ff99cdef0f2a_mask.tif,humap_dataset/train/images/ff99cdef0f2a.tif
humap_dataset/train/masks/7e97ecdac5d2_mask.tif,humap_dataset/train/images/7e97ecdac5d2.tif
humap_dataset/train/masks/3e70fafdbe3e_mask.tif,humap_dataset/train/images/3e70fafdbe3e.tif
humap_dataset/train/masks/f2b3606e1b5d_mask.tif,humap_dataset/train/images/f2b3606e1b5d.tif
humap_dataset/train/masks/e4c6313913c3_mask.tif,humap_dataset/train/images/e4c6313913c3.tif
humap_dataset/train/masks/37d83138ba37_mask.tif,humap_dataset/train/images/37d83138ba37.tif
humap_dataset/train/masks/08a1b468620a_mask.tif,humap_dataset/train/images/08a1b468620a.tif
humap_dataset/train/masks/634a9a8854a7_mask.tif,humap_dataset/train/images/634a9a8854a7.tif
humap_dataset/train/masks/35316cc71696_mask.tif,humap_dataset/train/images/35316cc71696.tif
humap_dataset/train/masks/7560670dee2a_mask.tif,humap_dataset/train/images/7560670dee2a.tif
humap_dataset/train/masks/9b95807e6b23_mask.tif,humap_dataset/train/images/9b95807e6b23.tif
humap_dataset/train/masks/e93185008c33_mask.tif,humap_dataset/train/images/e93185008c33.tif
humap_dataset/train/masks/878844fedcbb_mask.tif,humap_dataset/train/images/878844fedcbb.tif
humap_dataset/train/masks/c8ccde20bf4d_mask.tif,humap_dataset/train/images/c8ccde20bf4d.tif
humap_dataset/train/masks/b0ec2900ed72_mask.tif,humap_dataset/train/images/b0ec2900ed72.tif
humap_dataset/train/masks/d463ac727d6b_mask.tif,humap_dataset/train/images/d463ac727d6b.tif
humap_dataset/train/masks/1508ea9334c0_mask.tif,humap_dataset/train/images/1508ea9334c0.tif
humap_dataset/train/masks/e53db97f04b9_mask.tif,humap_dataset/train/images/e53db97f04b9.tif
humap_dataset/train/masks/7b521f53df5b_mask.tif,humap_dataset/train/images/7b521f53df5b.tif
humap_dataset/train/masks/6e74e333e5e4_mask.tif,humap_dataset/train/images/6e74e333e5e4.tif
humap_dataset/train/masks/947447479640_mask.tif,humap_dataset/train/images/947447479640.tif
humap_dataset/train/masks/a65fdd745f6f_mask.tif,humap_dataset/train/images/a65fdd745f6f.tif
humap_dataset/train/masks/f4b0c5cb8593_mask.tif,humap_dataset/train/images/f4b0c5cb8593.tif
humap_dataset/train/masks/e37d89a19566_mask.tif,humap_dataset/train/images/e37d89a19566.tif
humap_dataset/train/masks/af9c61e40ff5_mask.tif,humap_dataset/train/images/af9c61e40ff5.tif
humap_dataset/train/masks/54b61f30d4ec_mask.tif,humap_dataset/train/images/54b61f30d4ec.tif
humap_dataset/train/masks/4fcffe64689b_mask.tif,humap_dataset/train/images/4fcffe64689b.tif
humap_dataset/train/masks/8fa63480d054_mask.tif,humap_dataset/train/images/8fa63480d054.tif
humap_dataset/train/masks/866cff076c29_mask.tif,humap_dataset/train/images/866cff076c29.tif
humap_dataset/train/masks/a373ae26f4f0_mask.tif,humap_dataset/train/images/a373ae26f4f0.tif
humap_dataset/train/masks/ef39b81a7917_mask.tif,humap_dataset/train/images/ef39b81a7917.tif
humap_dataset/train/masks/b133a9ebd9c3_mask.tif,humap_dataset/train/images/b133a9ebd9c3.tif
humap_dataset/train/masks/91170b600f70_mask.tif,humap_dataset/train/images/91170b600f70.tif
humap_dataset/train/masks/51a2ad418b22_mask.tif,humap_dataset/train/images/51a2ad418b22.tif
humap_dataset/train/masks/0b935dd9ef6a_mask.tif,humap_dataset/train/images/0b935dd9ef6a.tif
humap_dataset/train/masks/c701b51b6ece_mask.tif,humap_dataset/train/images/c701b51b6ece.tif
humap_dataset/train/masks/484656371e88_mask.tif,humap_dataset/train/images/484656371e88.tif
humap_dataset/train/masks/dcea2cfbc429_mask.tif,humap_dataset/train/images/dcea2cfbc429.tif
humap_dataset/train/masks/ded0fdeaab79_mask.tif,humap_dataset/train/images/ded0fdeaab79.tif
humap_dataset/train/masks/19551df15a1e_mask.tif,humap_dataset/train/images/19551df15a1e.tif
humap_dataset/train/masks/ccd1307ed76b_mask.tif,humap_dataset/train/images/ccd1307ed76b.tif
humap_dataset/train/masks/f08458c9d007_mask.tif,humap_dataset/train/images/f08458c9d007.tif
humap_dataset/train/masks/0478279e6e16_mask.tif,humap_dataset/train/images/0478279e6e16.tif
humap_dataset/train/masks/08ed99cd1c93_mask.tif,humap_dataset/train/images/08ed99cd1c93.tif
humap_dataset/train/masks/871d4284b942_mask.tif,humap_dataset/train/images/871d4284b942.tif
humap_dataset/train/masks/0f5b52a768e2_mask.tif,humap_dataset/train/images/0f5b52a768e2.tif
humap_dataset/train/masks/90e10df06c46_mask.tif,humap_dataset/train/images/90e10df06c46.tif
humap_dataset/train/masks/eb7564c1ca68_mask.tif,humap_dataset/train/images/eb7564c1ca68.tif
humap_dataset/train/masks/891613413e69_mask.tif,humap_dataset/train/images/891613413e69.tif
humap_dataset/train/masks/16aff0aaa514_mask.tif,humap_dataset/train/images/16aff0aaa514.tif
humap_dataset/train/masks/244711bad1bd_mask.tif,humap_dataset/train/images/244711bad1bd.tif
humap_dataset/train/masks/60c5d77a74a0_mask.tif,humap_dataset/train/images/60c5d77a74a0.tif
humap_dataset/train/masks/c9455a06321d_mask.tif,humap_dataset/train/images/c9455a06321d.tif
humap_dataset/train/masks/6b52f8bd85ad_mask.tif,humap_dataset/train/images/6b52f8bd85ad.tif
humap_dataset/train/masks/31195284c86e_mask.tif,humap_dataset/train/images/31195284c86e.tif
humap_dataset/train/masks/15cb91fcaf6e_mask.tif,humap_dataset/train/images/15cb91fcaf6e.tif
humap_dataset/train/masks/352c7fdfb717_mask.tif,humap_dataset/train/images/352c7fdfb717.tif
humap_dataset/train/masks/47cb7f4ec51f_mask.tif,humap_dataset/train/images/47cb7f4ec51f.tif
humap_dataset/train/masks/88e8fbbc2b4e_mask.tif,humap_dataset/train/images/88e8fbbc2b4e.tif
humap_dataset/train/masks/8e467fa2a322_mask.tif,humap_dataset/train/images/8e467fa2a322.tif
humap_dataset/train/masks/ecdae8fdfd0e_mask.tif,humap_dataset/train/images/ecdae8fdfd0e.tif
humap_dataset/train/masks/9c19b3aabfdb_mask.tif,humap_dataset/train/images/9c19b3aabfdb.tif
humap_dataset/train/masks/ef7b43bcd2bf_mask.tif,humap_dataset/train/images/ef7b43bcd2bf.tif
humap_dataset/train/masks/af23476af35e_mask.tif,humap_dataset/train/images/af23476af35e.tif
humap_dataset/train/masks/055348e2fece_mask.tif,humap_dataset/train/images/055348e2fece.tif
humap_dataset/train/masks/a6526eeecee5_mask.tif,humap_dataset/train/images/a6526eeecee5.tif
humap_dataset/train/masks/af8982e66925_mask.tif,humap_dataset/train/images/af8982e66925.tif
humap_dataset/train/masks/87a07ec41751_mask.tif,humap_dataset/train/images/87a07ec41751.tif
humap_dataset/train/masks/68e0e9974b36_mask.tif,humap_dataset/train/images/68e0e9974b36.tif
humap_dataset/train/masks/8e90e6189c6b_mask.tif,humap_dataset/train/images/8e90e6189c6b.tif
humap_dataset/train/masks/44185039dc85_mask.tif,humap_dataset/train/images/44185039dc85.tif
humap_dataset/train/masks/e2d18adbc90d_mask.tif,humap_dataset/train/images/e2d18adbc90d.tif
humap_dataset/train/masks/644a62eaaf2b_mask.tif,humap_dataset/train/images/644a62eaaf2b.tif
humap_dataset/train/masks/09e3d02dfd1c_mask.tif,humap_dataset/train/images/09e3d02dfd1c.tif
humap_dataset/train/masks/0c3086bd8efb_mask.tif,humap_dataset/train/images/0c3086bd8efb.tif
humap_dataset/train/masks/aad30f930d6d_mask.tif,humap_dataset/train/images/aad30f930d6d.tif
humap_dataset/train/masks/b66b9bbbf167_mask.tif,humap_dataset/train/images/b66b9bbbf167.tif
humap_dataset/train/masks/c58fdf94786d_mask.tif,humap_dataset/train/images/c58fdf94786d.tif
humap_dataset/train/masks/66f49941ae3a_mask.tif,humap_dataset/train/images/66f49941ae3a.tif
humap_dataset/train/masks/67572ee0daf5_mask.tif,humap_dataset/train/images/67572ee0daf5.tif
humap_dataset/train/masks/c9dc3cfc0567_mask.tif,humap_dataset/train/images/c9dc3cfc0567.tif
humap_dataset/train/masks/62c75b6f6255_mask.tif,humap_dataset/train/images/62c75b6f6255.tif
humap_dataset/train/masks/d42603b67dad_mask.tif,humap_dataset/train/images/d42603b67dad.tif
humap_dataset/train/masks/80e39a2c0584_mask.tif,humap_dataset/train/images/80e39a2c0584.tif
humap_dataset/train/masks/25b98e7aea78_mask.tif,humap_dataset/train/images/25b98e7aea78.tif
humap_dataset/train/masks/89676f94fc96_mask.tif,humap_dataset/train/images/89676f94fc96.tif
humap_dataset/train/masks/8f988ab60343_mask.tif,humap_dataset/train/images/8f988ab60343.tif
humap_dataset/train/masks/3c9609fefe07_mask.tif,humap_dataset/train/images/3c9609fefe07.tif
humap_dataset/train/masks/c9a0f19e04c5_mask.tif,humap_dataset/train/images/c9a0f19e04c5.tif
humap_dataset/train/masks/1b0f943da76c_mask.tif,humap_dataset/train/images/1b0f943da76c.tif
humap_dataset/train/masks/5e6559502f5c_mask.tif,humap_dataset/train/images/5e6559502f5c.tif
humap_dataset/train/masks/bdf18b8fa3ed_mask.tif,humap_dataset/train/images/bdf18b8fa3ed.tif
humap_dataset/train/masks/62cb0165db74_mask.tif,humap_dataset/train/images/62cb0165db74.tif
humap_dataset/train/masks/c689a79e5663_mask.tif,humap_dataset/train/images/c689a79e5663.tif
humap_dataset/train/masks/6a2cec1c97bc_mask.tif,humap_dataset/train/images/6a2cec1c97bc.tif
humap_dataset/train/masks/0788fc3be62e_mask.tif,humap_dataset/train/images/0788fc3be62e.tif
humap_dataset/train/masks/2ff87855e80d_mask.tif,humap_dataset/train/images/2ff87855e80d.tif
humap_dataset/train/masks/96c2d15e0fa1_mask.tif,humap_dataset/train/images/96c2d15e0fa1.tif
humap_dataset/train/masks/60dd04800024_mask.tif,humap_dataset/train/images/60dd04800024.tif
humap_dataset/train/masks/def31ed25c53_mask.tif,humap_dataset/train/images/def31ed25c53.tif
humap_dataset/train/masks/693de1429edc_mask.tif,humap_dataset/train/images/693de1429edc.tif
humap_dataset/train/masks/09df7e1fe1cc_mask.tif,humap_dataset/train/images/09df7e1fe1cc.tif
humap_dataset/train/masks/939c99c1e09a_mask.tif,humap_dataset/train/images/939c99c1e09a.tif
humap_dataset/train/masks/9f277dd2e945_mask.tif,humap_dataset/train/images/9f277dd2e945.tif
humap_dataset/train/masks/37ef7e9b8bbb_mask.tif,humap_dataset/train/images/37ef7e9b8bbb.tif
humap_dataset/train/masks/12d8b41d1c0e_mask.tif,humap_dataset/train/images/12d8b41d1c0e.tif
humap_dataset/train/masks/832a1cf1a44c_mask.tif,humap_dataset/train/images/832a1cf1a44c.tif
humap_dataset/train/masks/75936837a55d_mask.tif,humap_dataset/train/images/75936837a55d.tif
humap_dataset/train/masks/e024bc3c9ad8_mask.tif,humap_dataset/train/images/e024bc3c9ad8.tif
humap_dataset/train/masks/d4a10d20a7d7_mask.tif,humap_dataset/train/images/d4a10d20a7d7.tif
humap_dataset/train/masks/5871b8dc3e88_mask.tif,humap_dataset/train/images/5871b8dc3e88.tif
humap_dataset/train/masks/eb52609dbace_mask.tif,humap_dataset/train/images/eb52609dbace.tif
humap_dataset/train/masks/283a63bdeedf_mask.tif,humap_dataset/train/images/283a63bdeedf.tif
humap_dataset/train/masks/7c5cf9cde77f_mask.tif,humap_dataset/train/images/7c5cf9cde77f.tif
humap_dataset/train/masks/993a5ac25b94_mask.tif,humap_dataset/train/images/993a5ac25b94.tif
humap_dataset/train/masks/ae260805d9f9_mask.tif,humap_dataset/train/images/ae260805d9f9.tif
humap_dataset/train/masks/6fe2f73f1bd8_mask.tif,humap_dataset/train/images/6fe2f73f1bd8.tif
humap_dataset/train/masks/d811739e1ef2_mask.tif,humap_dataset/train/images/d811739e1ef2.tif
humap_dataset/train/masks/15caf619db2e_mask.tif,humap_dataset/train/images/15caf619db2e.tif
humap_dataset/train/masks/927942db80bf_mask.tif,humap_dataset/train/images/927942db80bf.tif
humap_dataset/train/masks/91ba77e94fd3_mask.tif,humap_dataset/train/images/91ba77e94fd3.tif
humap_dataset/train/masks/46a58335b3c8_mask.tif,humap_dataset/train/images/46a58335b3c8.tif
humap_dataset/train/masks/c1bb0a12845a_mask.tif,humap_dataset/train/images/c1bb0a12845a.tif
humap_dataset/train/masks/c0bf4b3dd05e_mask.tif,humap_dataset/train/images/c0bf4b3dd05e.tif
humap_dataset/train/masks/3067de360996_mask.tif,humap_dataset/train/images/3067de360996.tif
humap_dataset/train/masks/cfb0bd617652_mask.tif,humap_dataset/train/images/cfb0bd617652.tif
